位置X：-30.82057,  位置Y：0.08333337,  位置Z：-14.58808,  身体角度：0.04343759,  头部角度：270.5486
位置X：-30.82022,  位置Y：0.08333337,  位置Z：-14.12836,  身体角度：0.04337845,  头部角度：270.549
位置X：-30.8202,  位置Y：0.08333337,  位置Z：-14.10661,  身体角度：0.0433731,  头部角度：270.5461
位置X：-30.82019,  位置Y：0.08333337,  位置Z：-14.09296,  身体角度：0.0433731,  头部角度：270.5468
位置X：-30.82018,  位置Y：0.08333337,  位置Z：-14.07615,  身体角度：0.04328305,  头部角度：270.549
位置X：-30.81968,  位置Y：0.08333337,  位置Z：-13.40948,  身体角度：0.0432778,  头部角度：270.7543
位置X：-30.81963,  位置Y：0.08333337,  位置Z：-13.35056,  身体角度：0.04327256,  头部角度：270.7644
位置X：-30.81962,  位置Y：0.08333337,  位置Z：-13.33059,  身体角度：0.04327256,  头部角度：270.7662
位置X：-30.8196,  位置Y：0.08333337,  位置Z：-13.31053,  身体角度：0.04326732,  头部角度：270.7695
位置X：-30.81959,  位置Y：0.08333337,  位置Z：-13.29686,  身体角度：0.04326732,  头部角度：270.7715
位置X：-30.81958,  位置Y：0.08333337,  位置Z：-13.27898,  身体角度：0.04326732,  头部角度：270.7723
位置X：-30.81957,  位置Y：0.08333337,  位置Z：-13.26291,  身体角度：0.04326209,  头部角度：270.7748
位置X：-30.81956,  位置Y：0.08333337,  位置Z：-13.24693,  身体角度：0.04326209,  头部角度：270.7773
位置X：-30.81954,  位置Y：0.08333337,  位置Z：-13.22808,  身体角度：0.04325686,  头部角度：270.7786
位置X：-30.81953,  位置Y：0.08333337,  位置Z：-13.21408,  身体角度：0.04325686,  头部角度：270.7811
位置X：-30.81952,  位置Y：0.08333337,  位置Z：-13.19808,  身体角度：0.04325686,  头部角度：270.7823
位置X：-30.81951,  位置Y：0.08333337,  位置Z：-13.18537,  身体角度：0.04325164,  头部角度：270.7833
位置X：-30.8195,  位置Y：0.08333337,  位置Z：-13.1715,  身体角度：0.04325164,  头部角度：270.7843
位置X：-30.81949,  位置Y：0.08333337,  位置Z：-13.15617,  身体角度：0.04325164,  头部角度：270.7856
位置X：-30.81948,  位置Y：0.08333337,  位置Z：-13.1438,  身体角度：0.04324642,  头部角度：270.7868
位置X：-30.81947,  位置Y：0.08333337,  位置Z：-13.12966,  身体角度：0.04324642,  头部角度：270.7886
位置X：-30.81946,  位置Y：0.08333337,  位置Z：-13.1154,  身体角度：0.04324642,  头部角度：270.7896
位置X：-30.81945,  位置Y：0.08333337,  位置Z：-13.102,  身体角度：0.0432412,  头部角度：270.7898
位置X：-30.81944,  位置Y：0.08333337,  位置Z：-13.08801,  身体角度：0.0432412,  头部角度：270.7918
位置X：-30.81942,  位置Y：0.08333337,  位置Z：-13.07404,  身体角度：0.043236,  头部角度：270.7923
位置X：-30.81941,  位置Y：0.08333337,  位置Z：-13.06154,  身体角度：0.043236,  头部角度：270.793
位置X：-30.8194,  位置Y：0.08333337,  位置Z：-13.04731,  身体角度：0.043236,  头部角度：270.7938
位置X：-30.81939,  位置Y：0.08333337,  位置Z：-13.03356,  身体角度：0.04323079,  头部角度：270.7945
位置X：-30.81938,  位置Y：0.08333337,  位置Z：-13.02043,  身体角度：0.04323079,  头部角度：270.795
位置X：-30.81937,  位置Y：0.08333337,  位置Z：-13.00654,  身体角度：0.04323079,  头部角度：270.7957
位置X：-30.81936,  位置Y：0.08333337,  位置Z：-12.9939,  身体角度：0.0432256,  头部角度：270.7962
位置X：-30.81936,  位置Y：0.08333337,  位置Z：-12.98164,  身体角度：0.0432256,  头部角度：270.797
位置X：-30.81934,  位置Y：0.08333337,  位置Z：-12.96723,  身体角度：0.0432256,  头部角度：270.7982
位置X：-30.81933,  位置Y：0.08333337,  位置Z：-12.95444,  身体角度：0.04322041,  头部角度：270.7977
位置X：-30.81932,  位置Y：0.08333337,  位置Z：-12.9403,  身体角度：0.04322041,  头部角度：270.7984
位置X：-30.81931,  位置Y：0.08333337,  位置Z：-12.9262,  身体角度：0.04322041,  头部角度：270.7989
位置X：-30.8193,  位置Y：0.08333337,  位置Z：-12.91361,  身体角度：0.04321522,  头部角度：270.7994
位置X：-30.81929,  位置Y：0.08333337,  位置Z：-12.90087,  身体角度：0.04321522,  头部角度：270.7999
位置X：-30.81928,  位置Y：0.08333337,  位置Z：-12.88694,  身体角度：0.04321522,  头部角度：270.7994
位置X：-30.81927,  位置Y：0.08333337,  位置Z：-12.8742,  身体角度：0.04321004,  头部角度：270.8004
位置X：-30.81926,  位置Y：0.08333337,  位置Z：-12.85923,  身体角度：0.04321004,  头部角度：270.8002
位置X：-30.81925,  位置Y：0.08333337,  位置Z：-12.8452,  身体角度：0.04321004,  头部角度：270.8009
位置X：-30.81924,  位置Y：0.08333337,  位置Z：-12.83204,  身体角度：0.04320486,  头部角度：270.8011
位置X：-30.81923,  位置Y：0.08333337,  位置Z：-12.81825,  身体角度：0.04320486,  头部角度：270.8018
位置X：-30.81922,  位置Y：0.08333337,  位置Z：-12.80409,  身体角度：0.04320486,  头部角度：270.8016
位置X：-30.81921,  位置Y：0.08333337,  位置Z：-12.78997,  身体角度：0.04319969,  头部角度：270.8014
位置X：-30.8192,  位置Y：0.08333337,  位置Z：-12.77715,  身体角度：0.04319969,  头部角度：270.8014
位置X：-30.81919,  位置Y：0.08333337,  位置Z：-12.76391,  身体角度：0.04319969,  头部角度：270.8016
位置X：-30.81918,  位置Y：0.08333337,  位置Z：-12.75151,  身体角度：0.04319452,  头部角度：270.8026
位置X：-30.81917,  位置Y：0.08333337,  位置Z：-12.7389,  身体角度：0.04319452,  头部角度：270.8014
位置X：-30.81916,  位置Y：0.08333337,  位置Z：-12.72478,  身体角度：0.04319452,  头部角度：270.8016
位置X：-30.81915,  位置Y：0.08333337,  位置Z：-12.71068,  身体角度：0.04318937,  头部角度：270.8023
位置X：-30.81914,  位置Y：0.08333337,  位置Z：-12.69687,  身体角度：0.04318937,  头部角度：270.8016
位置X：-30.81912,  位置Y：0.08333337,  位置Z：-12.68214,  身体角度：0.04318937,  头部角度：270.8021
位置X：-30.81911,  位置Y：0.08333337,  位置Z：-12.66945,  身体角度：0.04318421,  头部角度：270.8023
位置X：-30.81911,  位置Y：0.08333337,  位置Z：-12.6565,  身体角度：0.04318421,  头部角度：270.8016
位置X：-30.81909,  位置Y：0.08333337,  位置Z：-12.64196,  身体角度：0.04318421,  头部角度：270.8018
位置X：-30.81908,  位置Y：0.08333337,  位置Z：-12.62909,  身体角度：0.04317906,  头部角度：270.8023
位置X：-30.81907,  位置Y：0.08333337,  位置Z：-12.61653,  身体角度：0.04317906,  头部角度：270.8021
位置X：-30.81907,  位置Y：0.08333337,  位置Z：-12.60299,  身体角度：0.04317906,  头部角度：270.8018
位置X：-30.81906,  位置Y：0.08333337,  位置Z：-12.59032,  身体角度：0.04317391,  头部角度：270.8016
位置X：-30.81905,  位置Y：0.08333337,  位置Z：-12.57708,  身体角度：0.04317391,  头部角度：270.8016
位置X：-30.81904,  位置Y：0.08333337,  位置Z：-12.56349,  身体角度：0.04317391,  头部角度：270.8018
位置X：-30.81903,  位置Y：0.08333337,  位置Z：-12.55103,  身体角度：0.04316877,  头部角度：270.8018
位置X：-30.81902,  位置Y：0.08333337,  位置Z：-12.53782,  身体角度：0.04316877,  头部角度：270.8011
位置X：-30.81901,  位置Y：0.08333337,  位置Z：-12.52419,  身体角度：0.04316877,  头部角度：270.8011
位置X：-30.81899,  位置Y：0.08333337,  位置Z：-12.50686,  身体角度：0.04316364,  头部角度：270.8014
位置X：-30.81898,  位置Y：0.08333337,  位置Z：-12.49189,  身体角度：0.04316364,  头部角度：270.8016
位置X：-30.81897,  位置Y：0.08333337,  位置Z：-12.47776,  身体角度：0.04316364,  头部角度：270.8009
位置X：-30.81896,  位置Y：0.08333337,  位置Z：-12.46428,  身体角度：0.04315851,  头部角度：270.8014
位置X：-30.81895,  位置Y：0.08333337,  位置Z：-12.45084,  身体角度：0.04315851,  头部角度：270.8014
位置X：-30.81894,  位置Y：0.08333337,  位置Z：-12.43507,  身体角度：0.04315338,  头部角度：270.8016
位置X：-30.81893,  位置Y：0.08333337,  位置Z：-12.42108,  身体角度：0.04315338,  头部角度：270.8006
位置X：-30.81892,  位置Y：0.08333337,  位置Z：-12.40587,  身体角度：0.04315338,  头部角度：270.8014
位置X：-30.81891,  位置Y：0.08333337,  位置Z：-12.39095,  身体角度：0.04314826,  头部角度：270.8011
位置X：-30.81889,  位置Y：0.08333337,  位置Z：-12.36728,  身体角度：0.04314826,  头部角度：270.8011
位置X：-30.81888,  位置Y：0.08333337,  位置Z：-12.34882,  身体角度：0.04314315,  头部角度：270.7654
位置X：-30.81887,  位置Y：0.08333337,  位置Z：-12.33638,  身体角度：0.04314315,  头部角度：270.7399
位置X：-30.81886,  位置Y：0.08333337,  位置Z：-12.3222,  身体角度：0.04314315,  头部角度：270.7122
位置X：-30.81885,  位置Y：0.08333337,  位置Z：-12.30949,  身体角度：0.04313804,  头部角度：270.6861
位置X：-30.81883,  位置Y：0.08333337,  位置Z：-12.2927,  身体角度：0.04313804,  头部角度：270.6531
位置X：-30.81882,  位置Y：0.08333337,  位置Z：-12.27786,  身体角度：0.04313804,  头部角度：270.6237
位置X：-30.81881,  位置Y：0.08333337,  位置Z：-12.26484,  身体角度：0.04313293,  头部角度：270.5977
位置X：-30.8188,  位置Y：0.08333337,  位置Z：-12.25188,  身体角度：0.04313293,  头部角度：270.572
位置X：-30.81879,  位置Y：0.08333337,  位置Z：-12.23864,  身体角度：0.04313293,  头部角度：270.5457
位置X：-30.81878,  位置Y：0.08333337,  位置Z：-12.2243,  身体角度：0.04312783,  头部角度：270.5189
位置X：-30.81877,  位置Y：0.08333337,  位置Z：-12.21118,  身体角度：0.04312783,  头部角度：270.4957
位置X：-30.81876,  位置Y：0.08333337,  位置Z：-12.19831,  身体角度：0.04312783,  头部角度：270.4715
位置X：-30.81875,  位置Y：0.08333337,  位置Z：-12.18533,  身体角度：0.04312274,  头部角度：270.4481
位置X：-30.81874,  位置Y：0.08333337,  位置Z：-12.17069,  身体角度：0.04312274,  头部角度：270.4238
位置X：-30.81873,  位置Y：0.08333337,  位置Z：-12.15668,  身体角度：0.04312274,  头部角度：270.4016
位置X：-30.81872,  位置Y：0.08333337,  位置Z：-12.14332,  身体角度：0.04311765,  头部角度：270.3836
位置X：-30.81871,  位置Y：0.08333337,  位置Z：-12.1294,  身体角度：0.04311765,  头部角度：270.3669
位置X：-30.8187,  位置Y：0.08333337,  位置Z：-12.11465,  身体角度：0.04311257,  头部角度：270.3522
位置X：-30.81869,  位置Y：0.08333337,  位置Z：-12.10069,  身体角度：0.04311257,  头部角度：270.3386
位置X：-30.81868,  位置Y：0.08333337,  位置Z：-12.0864,  身体角度：0.04311257,  头部角度：270.331
位置X：-30.81866,  位置Y：0.08333337,  位置Z：-12.06941,  身体角度：0.04310749,  头部角度：270.3275
位置X：-30.81865,  位置Y：0.08333337,  位置Z：-12.05637,  身体角度：0.04310749,  头部角度：270.3268
位置X：-30.81864,  位置Y：0.08333337,  位置Z：-12.04295,  身体角度：0.04310749,  头部角度：270.3316
位置X：-30.81863,  位置Y：0.08333337,  位置Z：-12.03116,  身体角度：0.04310242,  头部角度：270.3392
位置X：-30.81862,  位置Y：0.08333337,  位置Z：-12.01617,  身体角度：0.04310242,  头部角度：270.3505
位置X：-30.81861,  位置Y：0.08333337,  位置Z：-12.00263,  身体角度：0.04310242,  头部角度：270.3648
位置X：-30.8186,  位置Y：0.08333337,  位置Z：-11.98909,  身体角度：0.04309735,  头部角度：270.3816
位置X：-30.81859,  位置Y：0.08333337,  位置Z：-11.97597,  身体角度：0.04309735,  头部角度：270.3991
位置X：-30.81858,  位置Y：0.08333337,  位置Z：-11.96292,  身体角度：0.04309735,  头部角度：270.4196
位置X：-30.81857,  位置Y：0.08333337,  位置Z：-11.9493,  身体角度：0.04309228,  头部角度：270.4424
位置X：-30.81857,  位置Y：0.08333337,  位置Z：-11.93624,  身体角度：0.04309228,  头部角度：270.4656
位置X：-30.81855,  位置Y：0.08333337,  位置Z：-11.92167,  身体角度：0.04309228,  头部角度：270.491
位置X：-30.81854,  位置Y：0.08333337,  位置Z：-11.9078,  身体角度：0.04308723,  头部角度：270.5174
位置X：-30.81853,  位置Y：0.08333337,  位置Z：-11.89424,  身体角度：0.04308723,  头部角度：270.5446
位置X：-30.81852,  位置Y：0.08333337,  位置Z：-11.87906,  身体角度：0.04308723,  头部角度：270.5733
位置X：-30.81851,  位置Y：0.08333337,  位置Z：-11.86551,  身体角度：0.04308217,  头部角度：270.5974
位置X：-30.8185,  位置Y：0.08333337,  位置Z：-11.85231,  身体角度：0.04308217,  头部角度：270.5961
位置X：-30.81849,  位置Y：0.08333337,  位置Z：-11.83793,  身体角度：0.04308217,  头部角度：270.5948
位置X：-30.81848,  位置Y：0.08333337,  位置Z：-11.82399,  身体角度：0.04307712,  头部角度：270.5928
位置X：-30.81847,  位置Y：0.08333337,  位置Z：-11.81055,  身体角度：0.04307712,  头部角度：270.5908
位置X：-30.81846,  位置Y：0.08333337,  位置Z：-11.79629,  身体角度：0.04307712,  头部角度：270.5882
位置X：-30.81845,  位置Y：0.08333337,  位置Z：-11.78325,  身体角度：0.04307208,  头部角度：270.5869
位置X：-30.81844,  位置Y：0.08333337,  位置Z：-11.76963,  身体角度：0.04307208,  头部角度：270.5842
位置X：-30.81843,  位置Y：0.08333337,  位置Z：-11.75605,  身体角度：0.04307208,  头部角度：270.5835
位置X：-30.81842,  位置Y：0.08333337,  位置Z：-11.74345,  身体角度：0.04306704,  头部角度：270.5815
位置X：-30.81841,  位置Y：0.08333337,  位置Z：-11.73081,  身体角度：0.04306704,  头部角度：270.5801
位置X：-30.81841,  位置Y：0.08333337,  位置Z：-11.71744,  身体角度：0.04306704,  头部角度：270.5784
位置X：-30.8184,  位置Y：0.08333337,  位置Z：-11.70503,  身体角度：0.04306201,  头部角度：270.5764
位置X：-30.81838,  位置Y：0.08333337,  位置Z：-11.69106,  身体角度：0.04306201,  头部角度：270.5747
位置X：-30.81837,  位置Y：0.08333337,  位置Z：-11.67778,  身体角度：0.04306201,  头部角度：270.5727
位置X：-30.81836,  位置Y：0.08333337,  位置Z：-11.66274,  身体角度：0.04305698,  头部角度：270.5713
位置X：-30.81835,  位置Y：0.08333337,  位置Z：-11.64985,  身体角度：0.04305698,  头部角度：270.5696
位置X：-30.81834,  位置Y：0.08333337,  位置Z：-11.63589,  身体角度：0.04305698,  头部角度：270.5672
位置X：-30.81833,  位置Y：0.08333337,  位置Z：-11.62224,  身体角度：0.04305196,  头部角度：270.5665
位置X：-30.81832,  位置Y：0.08333337,  位置Z：-11.60952,  身体角度：0.04305196,  头部角度：270.5644
位置X：-30.81831,  位置Y：0.08333337,  位置Z：-11.59518,  身体角度：0.04305196,  头部角度：270.5637
位置X：-30.8183,  位置Y：0.08333337,  位置Z：-11.5825,  身体角度：0.04304694,  头部角度：270.5623
位置X：-30.81829,  位置Y：0.08333337,  位置Z：-11.56858,  身体角度：0.04304694,  头部角度：270.5609
位置X：-30.81828,  位置Y：0.08333337,  位置Z：-11.55218,  身体角度：0.04304193,  头部角度：270.5595
位置X：-30.81827,  位置Y：0.08333337,  位置Z：-11.53864,  身体角度：0.04304193,  头部角度：270.5581
位置X：-30.81825,  位置Y：0.08333337,  位置Z：-11.52179,  身体角度：0.04304193,  头部角度：270.5571
位置X：-30.81824,  位置Y：0.08333337,  位置Z：-11.50763,  身体角度：0.04303692,  头部角度：270.555
位置X：-30.81823,  位置Y：0.08333337,  位置Z：-11.49101,  身体角度：0.04303692,  头部角度：270.5539
位置X：-30.81822,  位置Y：0.08333337,  位置Z：-11.47543,  身体角度：0.04303692,  头部角度：270.5539
位置X：-30.8182,  位置Y：0.08333337,  位置Z：-11.46185,  身体角度：0.04303191,  头部角度：270.5529
位置X：-30.81819,  位置Y：0.08333337,  位置Z：-11.44715,  身体角度：0.04303191,  头部角度：270.5507
位置X：-30.81818,  位置Y：0.08333337,  位置Z：-11.43219,  身体角度：0.04302691,  头部角度：270.5514
位置X：-30.81817,  位置Y：0.08333337,  位置Z：-11.41811,  身体角度：0.04302691,  头部角度：270.5504
位置X：-30.81816,  位置Y：0.08333337,  位置Z：-11.40388,  身体角度：0.04302691,  头部角度：270.5511
位置X：-30.81815,  位置Y：0.08333337,  位置Z：-11.3907,  身体角度：0.04302192,  头部角度：270.5507
位置X：-30.81813,  位置Y：0.08333337,  位置Z：-11.36927,  身体角度：0.04302192,  头部角度：270.55
位置X：-30.81812,  位置Y：0.08333337,  位置Z：-11.35531,  身体角度：0.04302192,  头部角度：270.5511
位置X：-30.81811,  位置Y：0.08333337,  位置Z：-11.34235,  身体角度：0.04301693,  头部角度：270.5514
位置X：-30.8181,  位置Y：0.08333337,  位置Z：-11.32615,  身体角度：0.04301693,  头部角度：270.5518
位置X：-30.81808,  位置Y：0.08333337,  位置Z：-11.30691,  身体角度：0.04301195,  头部角度：270.4739
位置X：-30.81808,  位置Y：0.08333337,  位置Z：-11.2936,  身体角度：0.04301195,  头部角度：270.4261
位置X：-30.81806,  位置Y：0.08333337,  位置Z：-11.27862,  身体角度：0.04301195,  头部角度：270.3764
位置X：-30.82202,  位置Y：0.08333337,  位置Z：-11.26125,  身体角度：359.7417,  头部角度：270.3322
位置X：-30.82208,  位置Y：0.08333337,  位置Z：-11.24702,  身体角度：359.7417,  头部角度：270.3013
位置X：-30.82215,  位置Y：0.08333337,  位置Z：-11.23307,  身体角度：359.7417,  头部角度：270.2832
位置X：-30.82222,  位置Y：0.08333337,  位置Z：-11.21726,  身体角度：359.7417,  头部角度：270.2812
位置X：-30.82228,  位置Y：0.08333337,  位置Z：-11.20247,  身体角度：359.7417,  头部角度：270.2961
位置X：-30.82234,  位置Y：0.08333337,  位置Z：-11.18972,  身体角度：359.7417,  头部角度：270.3184
位置X：-30.8224,  位置Y：0.08333337,  位置Z：-11.1772,  身体角度：359.7417,  头部角度：270.3505
位置X：-30.82246,  位置Y：0.08333337,  位置Z：-11.16298,  身体角度：359.7417,  头部角度：270.3976
位置X：-30.83381,  位置Y：0.08333337,  位置Z：-11.14562,  身体角度：358.9327,  头部角度：270.4424
位置X：-30.83408,  位置Y：0.08333337,  位置Z：-11.13126,  身体角度：358.9327,  头部角度：270.4973
位置X：-30.83433,  位置Y：0.08333337,  位置Z：-11.11771,  身体角度：358.9327,  头部角度：270.5486
位置X：-30.83677,  位置Y：0.08333337,  位置Z：-11.0977,  身体角度：359.8114,  头部角度：270.5486
位置X：-30.83681,  位置Y：0.08333337,  位置Z：-11.08504,  身体角度：359.8114,  头部角度：270.5486
位置X：-30.83687,  位置Y：0.08333337,  位置Z：-11.06922,  身体角度：359.8114,  头部角度：270.5486
位置X：-30.83691,  位置Y：0.08333337,  位置Z：-11.05449,  身体角度：359.8114,  头部角度：270.5486
位置X：-30.83695,  位置Y：0.08333337,  位置Z：-11.04212,  身体角度：359.8114,  头部角度：270.5486
位置X：-30.837,  位置Y：0.08333337,  位置Z：-11.0272,  身体角度：359.8114,  头部角度：270.5486
位置X：-30.83704,  位置Y：0.08333337,  位置Z：-11.01495,  身体角度：359.8113,  头部角度：270.5486
位置X：-30.83709,  位置Y：0.08333337,  位置Z：-11.00171,  身体角度：359.8113,  头部角度：270.5486
位置X：-30.83713,  位置Y：0.08333337,  位置Z：-10.98788,  身体角度：359.8113,  头部角度：270.5486
位置X：-30.85729,  位置Y：0.08333337,  位置Z：-10.95547,  身体角度：359.8423,  头部角度：270.5486
位置X：-30.85732,  位置Y：0.08333337,  位置Z：-10.94244,  身体角度：359.8423,  头部角度：270.5486
位置X：-30.85736,  位置Y：0.08333337,  位置Z：-10.92849,  身体角度：359.8423,  头部角度：270.5486
位置X：-30.85339,  位置Y：0.08333337,  位置Z：-10.90587,  身体角度：1.597161,  头部角度：270.5486
位置X：-30.85302,  位置Y：0.08333337,  位置Z：-10.89269,  身体角度：1.597161,  头部角度：270.5486
位置X：-30.85264,  位置Y：0.08333337,  位置Z：-10.8791,  身体角度：1.597161,  头部角度：270.5486
位置X：-30.86806,  位置Y：0.08333337,  位置Z：-10.84861,  身体角度：1.291382,  头部角度：270.5486
位置X：-30.86776,  位置Y：0.08333337,  位置Z：-10.83553,  身体角度：1.291382,  头部角度：270.5486
位置X：-30.86744,  位置Y：0.08333337,  位置Z：-10.82134,  身体角度：1.291382,  头部角度：270.5486
位置X：-30.89397,  位置Y：0.08333337,  位置Z：-10.75443,  身体角度：18.99253,  头部角度：270.5486
位置X：-30.88973,  位置Y：0.08333337,  位置Z：-10.74211,  身体角度：18.99253,  头部角度：270.5486
位置X：-30.88536,  位置Y：0.08333337,  位置Z：-10.72941,  身体角度：18.99253,  头部角度：270.5486
位置X：-30.94034,  位置Y：0.08333337,  位置Z：-10.64226,  身体角度：25.64221,  头部角度：270.5486
位置X：-30.93454,  位置Y：0.08333337,  位置Z：-10.63019,  身体角度：25.64221,  头部角度：270.5486
位置X：-30.92807,  位置Y：0.08333337,  位置Z：-10.6167,  身体角度：25.64221,  头部角度：270.5486
位置X：-30.97151,  位置Y：0.08333337,  位置Z：-10.63867,  身体角度：20.91221,  头部角度：270.5486
位置X：-30.96664,  位置Y：0.08333337,  位置Z：-10.62593,  身体角度：20.91221,  头部角度：270.5486
位置X：-30.862,  位置Y：0.08333337,  位置Z：-10.69249,  身体角度：24.67606,  头部角度：270.5486
位置X：-30.85664,  位置Y：0.08333337,  位置Z：-10.68082,  身体角度：24.67606,  头部角度：270.5486
位置X：-30.85047,  位置Y：0.08333337,  位置Z：-10.6674,  身体角度：24.67606,  头部角度：270.5486
位置X：-30.81503,  位置Y：0.08333337,  位置Z：-10.71305,  身体角度：29.1961,  头部角度：270.5486
位置X：-30.80854,  位置Y：0.08333337,  位置Z：-10.70144,  身体角度：29.1961,  头部角度：270.5486
位置X：-30.80148,  位置Y：0.08333337,  位置Z：-10.6888,  身体角度：29.1961,  头部角度：270.5486
位置X：-30.79044,  位置Y：0.08333337,  位置Z：-10.69628,  身体角度：29.95427,  头部角度：270.5486
位置X：-30.7829,  位置Y：0.08333337,  位置Z：-10.6832,  身体角度：29.95427,  头部角度：270.5486
位置X：-30.77515,  位置Y：0.08333337,  位置Z：-10.66975,  身体角度：29.95427,  头部角度：270.5486
位置X：-30.76523,  位置Y：0.08333337,  位置Z：-10.63191,  身体角度：26.08245,  头部角度：270.5486
位置X：-30.7592,  位置Y：0.08333337,  位置Z：-10.61959,  身体角度：26.08245,  头部角度：270.5486
位置X：-30.75279,  位置Y：0.08333337,  位置Z：-10.60649,  身体角度：26.08245,  头部角度：270.5486
位置X：-30.71908,  位置Y：0.08333337,  位置Z：-10.61978,  身体角度：28.4854,  头部角度：270.5486
位置X：-30.71226,  位置Y：0.08333337,  位置Z：-10.6072,  身体角度：28.4854,  头部角度：270.5486
位置X：-30.70514,  位置Y：0.08333337,  位置Z：-10.59408,  身体角度：28.4854,  头部角度：270.5486
位置X：-30.69316,  位置Y：0.08333337,  位置Z：-10.58039,  身体角度：29.5176,  头部角度：270.5486
位置X：-30.68693,  位置Y：0.08333337,  位置Z：-10.56938,  身体角度：29.5176,  头部角度：270.5486
位置X：-30.68024,  位置Y：0.08333337,  位置Z：-10.55757,  身体角度：29.5176,  头部角度：270.5486
位置X：-30.6692,  位置Y：0.08333337,  位置Z：-10.53974,  身体角度：30.59126,  头部角度：270.5486
位置X：-30.66233,  位置Y：0.08333337,  位置Z：-10.52811,  身体角度：30.59126,  头部角度：270.5486
位置X：-30.6554,  位置Y：0.08333337,  位置Z：-10.5164,  身体角度：30.59126,  头部角度：270.5486
位置X：-30.64692,  位置Y：0.08333337,  位置Z：-10.49667,  身体角度：31.74627,  头部角度：270.5486
位置X：-30.63989,  位置Y：0.08333337,  位置Z：-10.48532,  身体角度：31.74627,  头部角度：270.5486
位置X：-30.63207,  位置Y：0.08333337,  位置Z：-10.47268,  身体角度：31.74627,  头部角度：270.5486
位置X：-30.60944,  位置Y：0.08333337,  位置Z：-10.45017,  身体角度：32.56463,  头部角度：270.5486
位置X：-30.60273,  位置Y：0.08333337,  位置Z：-10.43966,  身体角度：32.56463,  头部角度：270.5486
位置X：-30.59465,  位置Y：0.08333337,  位置Z：-10.42702,  身体角度：32.56463,  头部角度：270.5486
位置X：-30.58979,  位置Y：0.08333337,  位置Z：-10.40022,  身体角度：33.95964,  头部角度：270.5486
位置X：-30.58241,  位置Y：0.08333337,  位置Z：-10.38927,  身体角度：33.95964,  头部角度：270.5486
位置X：-30.57475,  位置Y：0.08333337,  位置Z：-10.37788,  身体角度：33.95964,  头部角度：270.5486
位置X：-30.57588,  位置Y：0.08333337,  位置Z：-10.33409,  身体角度：32.93919,  头部角度：270.5486
位置X：-30.56874,  位置Y：0.08333337,  位置Z：-10.32306,  身体角度：32.93919,  头部角度：270.5486
位置X：-30.561,  位置Y：0.08333337,  位置Z：-10.31111,  身体角度：32.93919,  头部角度：270.5486
位置X：-30.51571,  位置Y：0.08333337,  位置Z：-10.29538,  身体角度：37.00862,  头部角度：270.5486
位置X：-30.45606,  位置Y：0.08333337,  位置Z：-10.27625,  身体角度：36.59182,  头部角度：270.5486
