位置X：-38.23061,  位置Y：0.08333337,  位置Z：-23.60317,  身体角度：99.84705,  头部角度：270.6187
位置X：-38.25846,  位置Y：0.08333337,  位置Z：-23.56848,  身体角度：92.5328,  头部角度：270.8011
位置X：-38.23471,  位置Y：0.08333337,  位置Z：-23.56953,  身体角度：92.5328,  头部角度：270.8016
位置X：-38.20098,  位置Y：0.08333337,  位置Z：-23.5958,  身体角度：93.98026,  头部角度：270.8011
位置X：-38.22332,  位置Y：0.08333337,  位置Z：-23.57917,  身体角度：94.60878,  头部角度：270.8009
位置X：-38.19871,  位置Y：0.08333337,  位置Z：-23.58115,  身体角度：94.60878,  头部角度：270.8014
位置X：-38.22501,  位置Y：0.08333337,  位置Z：-23.59205,  身体角度：89.93105,  头部角度：270.8004
位置X：-38.19969,  位置Y：0.08333337,  位置Z：-23.59202,  身体角度：89.93105,  头部角度：270.8004
位置X：-38.24791,  位置Y：0.08333337,  位置Z：-23.59632,  身体角度：89.64333,  头部角度：270.8009
位置X：-38.25586,  位置Y：0.08333337,  位置Z：-23.59997,  身体角度：93.66732,  头部角度：270.8014
位置X：-38.23056,  位置Y：0.08333337,  位置Z：-23.60159,  身体角度：93.66732,  头部角度：270.8006
位置X：-38.25334,  位置Y：0.08333337,  位置Z：-23.60206,  身体角度：93.89761,  头部角度：270.8014
位置X：-38.26177,  位置Y：0.08333337,  位置Z：-23.59867,  身体角度：98.94239,  头部角度：270.8006
位置X：-38.23663,  位置Y：0.08333337,  位置Z：-23.60263,  身体角度：98.94239,  头部角度：270.8006
位置X：-38.2547,  位置Y：0.08333337,  位置Z：-23.58626,  身体角度：97.22269,  头部角度：270.8006
位置X：-38.28068,  位置Y：0.08333337,  位置Z：-23.56257,  身体角度：98.10921,  头部角度：270.8006
位置X：-38.25645,  位置Y：0.08333337,  位置Z：-23.56602,  身体角度：98.10921,  头部角度：270.8006
位置X：-38.25998,  位置Y：0.08333337,  位置Z：-23.60135,  身体角度：102.902,  头部角度：270.8006
位置X：-38.23769,  位置Y：0.08333337,  位置Z：-23.60645,  身体角度：102.902,  头部角度：270.8006
位置X：-38.27881,  位置Y：0.08333337,  位置Z：-23.60561,  身体角度：101.2287,  头部角度：270.8006
位置X：-38.29476,  位置Y：0.08333337,  位置Z：-23.56595,  身体角度：98.3987,  头部角度：270.8006
位置X：-38.27089,  位置Y：0.08333337,  位置Z：-23.56947,  身体角度：98.3987,  头部角度：270.8006
位置X：-38.26478,  位置Y：0.08333337,  位置Z：-23.58436,  身体角度：102.2654,  头部角度：270.8006
位置X：-38.24183,  位置Y：0.08333337,  位置Z：-23.58935,  身体角度：102.2654,  头部角度：270.8006
位置X：-38.25015,  位置Y：0.08333337,  位置Z：-23.60993,  身体角度：105.4903,  头部角度：270.8006
位置X：-38.29374,  位置Y：0.08333337,  位置Z：-23.61694,  身体角度：103.8913,  头部角度：270.8006
位置X：-38.27003,  位置Y：0.08333337,  位置Z：-23.6228,  身体角度：103.8913,  头部角度：270.8006
位置X：-38.32897,  位置Y：0.08333337,  位置Z：-23.62648,  身体角度：104.9278,  头部角度：270.8006
位置X：-38.3058,  位置Y：0.08333337,  位置Z：-23.63266,  身体角度：104.9278,  头部角度：270.8006
位置X：-38.3461,  位置Y：0.08333337,  位置Z：-23.59607,  身体角度：104.556,  头部角度：270.8006
位置X：-38.34749,  位置Y：0.08333337,  位置Z：-23.52622,  身体角度：100.1004,  头部角度：270.8006
位置X：-38.32193,  位置Y：0.08333337,  位置Z：-23.53077,  身体角度：100.1004,  头部角度：270.8006
位置X：-38.31608,  位置Y：0.08333337,  位置Z：-23.562,  身体角度：104.183,  头部角度：270.8006
位置X：-38.29188,  位置Y：0.08333337,  位置Z：-23.56812,  身体角度：104.183,  头部角度：270.8006
位置X：-38.32763,  位置Y：0.08333337,  位置Z：-23.57844,  身体角度：103.9381,  头部角度：270.8006
位置X：-38.34289,  位置Y：0.08333337,  位置Z：-23.57173,  身体角度：105.9331,  头部角度：270.8006
位置X：-38.32008,  位置Y：0.08333337,  位置Z：-23.57824,  身体角度：105.9331,  头部角度：270.8006
位置X：-38.29689,  位置Y：0.08333337,  位置Z：-23.57251,  身体角度：104.9211,  头部角度：270.8006
位置X：-38.28527,  位置Y：0.08333337,  位置Z：-23.58134,  身体角度：106.3426,  头部角度：270.8006
位置X：-38.26161,  位置Y：0.08333337,  位置Z：-23.58827,  身体角度：106.3426,  头部角度：270.8006
位置X：-38.27172,  位置Y：0.08333337,  位置Z：-23.60556,  身体角度：108.8612,  头部角度：270.8006
位置X：-38.24955,  位置Y：0.08333337,  位置Z：-23.61313,  身体角度：108.8612,  头部角度：270.8006
位置X：-38.2884,  位置Y：0.08333337,  位置Z：-23.72552,  身体角度：112.5379,  头部角度：270.8006
位置X：-38.29961,  位置Y：0.08333337,  位置Z：-23.70444,  身体角度：113.5784,  头部角度：270.8006
位置X：-38.2775,  位置Y：0.08333337,  位置Z：-23.71408,  身体角度：113.5784,  头部角度：270.8006
位置X：-38.26183,  位置Y：0.08333337,  位置Z：-23.70804,  身体角度：117.3553,  头部角度：270.8016
位置X：-38.26396,  位置Y：0.08333337,  位置Z：-23.72349,  身体角度：123.8877,  头部角度：270.8021
位置X：-38.23981,  位置Y：0.08333337,  位置Z：-23.73971,  身体角度：123.8877,  头部角度：270.7982
位置X：-38.22223,  位置Y：0.08333337,  位置Z：-23.72503,  身体角度：126.5516,  头部角度：270.7886
位置X：-38.21184,  位置Y：0.08333337,  位置Z：-23.72785,  身体角度：129.0146,  头部角度：270.7771
位置X：-38.19024,  位置Y：0.08333337,  位置Z：-23.74535,  身体角度：129.0146,  头部角度：270.7662
位置X：-38.18349,  位置Y：0.08333337,  位置Z：-23.75487,  身体角度：131.895,  头部角度：270.7567
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-23.7706,  身体角度：131.895,  头部角度：270.7489
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-23.79947,  身体角度：133.9802,  头部角度：270.7402
位置X：-38.16985,  位置Y：0.08333337,  位置Z：-23.82385,  身体角度：140.699,  头部角度：270.7338
位置X：-38.16763,  位置Y：0.08333337,  位置Z：-23.83693,  身体角度：142.508,  头部角度：270.7263
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-23.85927,  身体角度：144.9738,  头部角度：270.7122
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-23.87932,  身体角度：144.9738,  头部角度：270.7058
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-23.84694,  身体角度：146.1333,  头部角度：270.6986
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-23.86705,  身体角度：146.1333,  头部角度：270.6927
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-23.87296,  身体角度：148.4117,  头部角度：270.685
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-23.86449,  身体角度：150.2975,  头部角度：270.679
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-23.88554,  身体角度：150.2975,  头部角度：270.6738
位置X：-38.17862,  位置Y：0.08333337,  位置Z：-23.92173,  身体角度：151.2257,  头部角度：270.6674
位置X：-38.18737,  位置Y：0.08333337,  位置Z：-23.92656,  身体角度：153.0334,  头部角度：270.6612
位置X：-38.17599,  位置Y：0.08333337,  位置Z：-23.94892,  身体角度：153.0334,  头部角度：270.654
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-23.92053,  身体角度：155.0578,  头部角度：270.6489
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-23.94179,  身体角度：155.0578,  头部角度：270.6419
位置X：-38.20464,  位置Y：0.08333337,  位置Z：-23.98063,  身体角度：159.9073,  头部角度：270.6352
位置X：-38.2471,  位置Y：0.08333337,  位置Z：-23.95462,  身体角度：161.8651,  头部角度：270.6281
位置X：-38.23816,  位置Y：0.08333337,  位置Z：-23.98191,  身体角度：161.8651,  头部角度：270.6212
位置X：-38.26646,  位置Y：0.08333337,  位置Z：-23.93616,  身体角度：164.2095,  头部角度：270.6148
位置X：-38.31487,  位置Y：0.08333337,  位置Z：-23.96651,  身体角度：168.7987,  头部角度：270.6088
位置X：-38.30971,  位置Y：0.08333337,  位置Z：-23.99258,  身体角度：168.7987,  头部角度：270.6026
位置X：-38.34554,  位置Y：0.08333337,  位置Z：-23.94798,  身体角度：169.355,  头部角度：270.5961
位置X：-38.38149,  位置Y：0.08333337,  位置Z：-23.94318,  身体角度：172.4946,  头部角度：270.5901
位置X：-38.37814,  位置Y：0.08333337,  位置Z：-23.96862,  身体角度：172.4946,  头部角度：270.5828
位置X：-38.41743,  位置Y：0.08333337,  位置Z：-23.94037,  身体角度：175.6473,  头部角度：270.5784
位置X：-38.41559,  位置Y：0.08333337,  位置Z：-23.96454,  身体角度：175.6473,  头部角度：270.5716
位置X：-38.36551,  位置Y：0.08333337,  位置Z：-23.90811,  身体角度：164.1339,  头部角度：270.5665
位置X：-38.38897,  位置Y：0.08333337,  位置Z：-23.90869,  身体角度：165.577,  头部角度：270.5602
位置X：-38.38261,  位置Y：0.08333337,  位置Z：-23.93341,  身体角度：165.577,  头部角度：270.5567
位置X：-38.39811,  位置Y：0.08333337,  位置Z：-23.93901,  身体角度：167.4414,  头部角度：270.55
位置X：-38.41647,  位置Y：0.08333337,  位置Z：-23.94436,  身体角度：169.4413,  头部角度：270.5446
位置X：-38.41195,  位置Y：0.08333337,  位置Z：-23.96865,  身体角度：169.4413,  头部角度：270.5407
位置X：-38.43596,  位置Y：0.08333337,  位置Z：-23.96875,  身体角度：171.1704,  头部角度：270.5356
位置X：-38.43211,  位置Y：0.08333337,  位置Z：-23.9935,  身体角度：171.1704,  头部角度：270.5308
位置X：-38.47055,  位置Y：0.08333337,  位置Z：-23.97301,  身体角度：170.5673,  头部角度：270.5256
位置X：-38.50391,  位置Y：0.08333337,  位置Z：-23.95721,  身体角度：169.5495,  头部角度：270.5211
位置X：-38.4993,  位置Y：0.08333337,  位置Z：-23.98223,  身体角度：169.5495,  头部角度：270.5174
位置X：-38.48783,  位置Y：0.08333337,  位置Z：-23.94324,  身体角度：169.5017,  头部角度：270.5128
位置X：-38.50227,  位置Y：0.08333337,  位置Z：-23.91018,  身体角度：170.4787,  头部角度：270.509
位置X：-38.49812,  位置Y：0.08333337,  位置Z：-23.93489,  身体角度：170.4787,  头部角度：270.5059
位置X：-38.51137,  位置Y：0.08333337,  位置Z：-23.9047,  身体角度：171.624,  头部角度：270.5028
位置X：-38.5079,  位置Y：0.08333337,  位置Z：-23.92825,  身体角度：171.624,  头部角度：270.4993
位置X：-38.50956,  位置Y：0.08333337,  位置Z：-23.88877,  身体角度：169.89,  头部角度：270.4961
位置X：-38.5634,  位置Y：0.08333337,  位置Z：-23.90331,  身体角度：171.7671,  头部角度：270.4934
位置X：-38.55973,  位置Y：0.08333337,  位置Z：-23.92864,  身体角度：171.7671,  头部角度：270.4914
位置X：-38.57438,  位置Y：0.08333337,  位置Z：-23.94689,  身体角度：172.1071,  头部角度：270.4878
位置X：-38.57129,  位置Y：0.08333337,  位置Z：-23.96918,  身体角度：172.1071,  头部角度：270.487
位置X：-38.56431,  位置Y：0.08333337,  位置Z：-23.97658,  身体角度：170.3396,  头部角度：270.483
位置X：-38.56558,  位置Y：0.08333337,  位置Z：-23.99738,  身体角度：170.0837,  头部角度：270.4813
位置X：-38.56829,  位置Y：0.08333337,  位置Z：-24.00817,  身体角度：167.6353,  头部角度：270.4338
位置X：-38.56279,  位置Y：0.08333337,  位置Z：-24.03324,  身体角度：167.6353,  头部角度：270.402
位置X：-38.57107,  位置Y：0.08333337,  位置Z：-24.03616,  身体角度：171.3257,  头部角度：270.3748
位置X：-38.56755,  位置Y：0.08333337,  位置Z：-24.05924,  身体角度：171.3257,  头部角度：270.3517
位置X：-38.55966,  位置Y：0.08333337,  位置Z：-24.05506,  身体角度：169.108,  头部角度：270.3334
位置X：-38.58047,  位置Y：0.08333337,  位置Z：-24.07452,  身体角度：165.9884,  头部角度：270.3226
位置X：-38.57416,  位置Y：0.08333337,  位置Z：-24.09981,  身体角度：165.9884,  头部角度：270.3177
位置X：-38.58327,  位置Y：0.08333337,  位置Z：-24.06248,  身体角度：161.3827,  头部角度：270.3202
位置X：-38.56509,  位置Y：0.08333337,  位置Z：-24.05172,  身体角度：157.2336,  头部角度：270.3286
位置X：-38.5553,  位置Y：0.08333337,  位置Z：-24.07503,  身体角度：157.2336,  头部角度：270.3449
位置X：-38.53981,  位置Y：0.08333337,  位置Z：-24.06354,  身体角度：155.0327,  头部角度：270.3648
位置X：-38.53299,  位置Y：0.08333337,  位置Z：-24.0557,  身体角度：154.0097,  头部角度：270.3856
位置X：-38.52211,  位置Y：0.08333337,  位置Z：-24.07802,  身体角度：154.0097,  头部角度：270.4093
位置X：-38.50459,  位置Y：0.08333337,  位置Z：-24.06104,  身体角度：151.536,  头部角度：270.4361
位置X：-38.4936,  位置Y：0.08333337,  位置Z：-24.08132,  身体角度：151.536,  头部角度：270.4618
位置X：-38.50161,  位置Y：0.08333337,  位置Z：-24.07402,  身体角度：150.3841,  头部角度：270.4902
位置X：-38.46006,  位置Y：0.08333337,  位置Z：-24.03527,  身体角度：151.5592,  头部角度：270.5264
位置X：-38.44334,  位置Y：0.08333337,  位置Z：-24.02397,  身体角度：154.3265,  头部角度：270.5585
位置X：-38.43132,  位置Y：0.08333337,  位置Z：-24.04897,  身体角度：154.3265,  头部角度：270.5935
位置X：-38.41605,  位置Y：0.08333337,  位置Z：-24.02751,  身体角度：156.9581,  头部角度：270.5951
位置X：-38.40641,  位置Y：0.08333337,  位置Z：-24.05017,  身体角度：156.9581,  头部角度：270.5922
位置X：-38.38703,  位置Y：0.08333337,  位置Z：-24.0292,  身体角度：159.4994,  头部角度：270.5885
位置X：-38.35927,  位置Y：0.08333337,  位置Z：-24.00832,  身体角度：161.7711,  头部角度：270.5848
位置X：-38.35112,  位置Y：0.08333337,  位置Z：-24.03307,  身体角度：161.7711,  头部角度：270.5808
位置X：-38.32179,  位置Y：0.08333337,  位置Z：-24.01343,  身体角度：164.7486,  头部角度：270.5784
位置X：-38.29,  位置Y：0.08333337,  位置Z：-23.99867,  身体角度：168.3137,  头部角度：270.5754
位置X：-38.28428,  位置Y：0.08333337,  位置Z：-24.02634,  身体角度：168.3137,  头部角度：270.572
位置X：-38.25093,  位置Y：0.08333337,  位置Z：-24.02826,  身体角度：168.7561,  头部角度：270.5679
位置X：-38.23419,  位置Y：0.08333337,  位置Z：-24.02852,  身体角度：166.5209,  头部角度：270.5658
位置X：-38.22816,  位置Y：0.08333337,  位置Z：-24.05371,  身体角度：166.5209,  头部角度：270.5623
位置X：-38.20073,  位置Y：0.08333337,  位置Z：-24.05072,  身体角度：164.2045,  头部角度：270.5588
位置X：-38.17291,  位置Y：0.08333337,  位置Z：-24.04398,  身体角度：161.2395,  头部角度：270.5571
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-24.06817,  身体角度：161.2395,  头部角度：270.5557
位置X：-38.16667,  位置Y：0.08333337,  位置Z：-24.06251,  身体角度：158.4268,  头部角度：270.5532
位置X：-38.24121,  位置Y：0.08333337,  位置Z：-24.02348,  身体角度：166.9814,  头部角度：270.5518
位置X：-38.23508,  位置Y：0.08333337,  位置Z：-24.05002,  身体角度：166.9814,  头部角度：270.5511
位置X：-38.27483,  位置Y：0.08333337,  位置Z：-24.01734,  身体角度：168.1754,  头部角度：270.5511
位置X：-38.30825,  位置Y：0.08333337,  位置Z：-23.96202,  身体角度：166.7538,  头部角度：270.5504
位置X：-38.30254,  位置Y：0.08333337,  位置Z：-23.98625,  身体角度：166.7538,  头部角度：270.55
位置X：-38.34504,  位置Y：0.08333337,  位置Z：-23.93991,  身体角度：166.6229,  头部角度：270.5511
位置X：-38.39449,  位置Y：0.08333337,  位置Z：-23.97816,  身体角度：169.6982,  头部角度：270.5529
位置X：-38.3896,  位置Y：0.08333337,  位置Z：-24.00507,  身体角度：169.6982,  头部角度：270.5536
位置X：-38.4294,  位置Y：0.08333337,  位置Z：-23.95859,  身体角度：169.9357,  头部角度：270.556
位置X：-38.47562,  位置Y：0.08333337,  位置Z：-23.94674,  身体角度：173.4313,  头部角度：270.5581
位置X：-38.52539,  位置Y：0.08333337,  位置Z：-23.90985,  身体角度：175.367,  头部角度：270.5623
位置X：-38.52327,  位置Y：0.08333337,  位置Z：-23.93605,  身体角度：175.367,  头部角度：270.5644
位置X：-38.5137,  位置Y：0.08333337,  位置Z：-23.88642,  身体角度：175.6939,  头部角度：270.5675
位置X：-38.54423,  位置Y：0.08333337,  位置Z：-23.89639,  身体角度：173.3437,  头部角度：270.571
位置X：-38.54147,  位置Y：0.08333337,  位置Z：-23.92001,  身体角度：173.3437,  头部角度：270.574
位置X：-38.5682,  位置Y：0.08333337,  位置Z：-23.92537,  身体角度：169.3957,  头部角度：270.5774
位置X：-38.59012,  位置Y：0.08333337,  位置Z：-23.98507,  身体角度：168.5657,  头部角度：270.5815
位置X：-38.58508,  位置Y：0.08333337,  位置Z：-24.01001,  身体角度：168.5657,  头部角度：270.5855
位置X：-38.62334,  位置Y：0.08333337,  位置Z：-24.0303,  身体角度：164.1005,  头部角度：270.5908
位置X：-38.63863,  位置Y：0.08333337,  位置Z：-24.05672,  身体角度：160.5804,  头部角度：270.5928
位置X：-38.62835,  位置Y：0.08333337,  位置Z：-24.08589,  身体角度：160.5804,  头部角度：270.5977
位置X：-38.71563,  位置Y：0.08333337,  位置Z：-24.14274,  身体角度：166.5468,  头部角度：270.6007
位置X：-38.71226,  位置Y：0.08333337,  位置Z：-24.12288,  身体角度：165.2269,  头部角度：270.6059
位置X：-38.70599,  位置Y：0.08333337,  位置Z：-24.14663,  身体角度：165.2269,  头部角度：270.6091
位置X：-38.67175,  位置Y：0.08333337,  位置Z：-24.08347,  身体角度：165.0758,  头部角度：270.6117
位置X：-38.68084,  位置Y：0.08333337,  位置Z：-24.05046,  身体角度：175.3414,  头部角度：270.6155
位置X：-38.68065,  位置Y：0.08333337,  位置Z：-24.00928,  身体角度：178.3154,  头部角度：270.6193
位置X：-38.67971,  位置Y：0.08333337,  位置Z：-24.04113,  身体角度：178.3154,  头部角度：270.6231
位置X：-38.63109,  位置Y：0.08333337,  位置Z：-23.99258,  身体角度：177.8519,  头部角度：270.6274
位置X：-38.62518,  位置Y：0.08333337,  位置Z：-23.95284,  身体角度：182.5346,  头部角度：270.6306
位置X：-38.65231,  位置Y：0.08333337,  位置Z：-23.8988,  身体角度：191.1306,  头部角度：270.6343
位置X：-38.65828,  位置Y：0.08333337,  位置Z：-23.92909,  身体角度：191.1306,  头部角度：270.6367
位置X：-38.62149,  位置Y：0.08333337,  位置Z：-23.89859,  身体角度：193.4716,  头部角度：270.6392
位置X：-38.60338,  位置Y：0.08333337,  位置Z：-23.87825,  身体角度：198.9522,  头部角度：270.641
位置X：-38.61115,  位置Y：0.08333337,  位置Z：-23.90089,  身体角度：198.9522,  头部角度：270.6435
位置X：-38.59169,  位置Y：0.08333337,  位置Z：-23.90015,  身体角度：202.0618,  头部角度：270.6453
位置X：-38.63077,  位置Y：0.08333337,  位置Z：-23.87671,  身体角度：206.3942,  头部角度：270.6459
位置X：-38.64464,  位置Y：0.08333337,  位置Z：-23.90465,  身体角度：206.3942,  头部角度：270.6483
位置X：-38.65699,  位置Y：0.08333337,  位置Z：-23.87789,  身体角度：205.9062,  头部角度：270.6477
位置X：-38.65379,  位置Y：0.08333337,  位置Z：-23.8465,  身体角度：203.7401,  头部角度：270.6486
位置X：-38.66382,  位置Y：0.08333337,  位置Z：-23.86929,  身体角度：203.7401,  头部角度：270.6489
位置X：-38.65858,  位置Y：0.08333337,  位置Z：-23.84624,  身体角度：202.5422,  头部角度：270.6483
位置X：-38.64392,  位置Y：0.08333337,  位置Z：-23.81811,  身体角度：200.8293,  头部角度：270.6477
位置X：-38.65266,  位置Y：0.08333337,  位置Z：-23.84107,  身体角度：200.8293,  头部角度：270.6459
位置X：-38.65704,  位置Y：0.08333337,  位置Z：-23.81265,  身体角度：201.248,  头部角度：270.6447
位置X：-38.65739,  位置Y：0.08333337,  位置Z：-23.81756,  身体角度：201.794,  头部角度：270.6422
位置X：-38.66836,  位置Y：0.08333337,  位置Z：-23.84499,  身体角度：201.794,  头部角度：270.6398
位置X：-38.66183,  位置Y：0.08333337,  位置Z：-23.82569,  身体角度：201.5848,  头部角度：270.6367
位置X：-38.62004,  位置Y：0.08333337,  位置Z：-23.81656,  身体角度：199.7357,  头部角度：270.6343
位置X：-38.63089,  位置Y：0.08333337,  位置Z：-23.84678,  身体角度：199.7357,  头部角度：270.6306
位置X：-38.60067,  位置Y：0.08333337,  位置Z：-23.83276,  身体角度：196.2491,  头部角度：270.6281
位置X：-38.57663,  位置Y：0.08333337,  位置Z：-23.81714,  身体角度：194.6333,  头部角度：270.6237
位置X：-38.58318,  位置Y：0.08333337,  位置Z：-23.84226,  身体角度：194.6333,  头部角度：270.6208
位置X：-38.59676,  位置Y：0.08333337,  位置Z：-23.84847,  身体角度：195.5213,  头部角度：270.618
位置X：-38.57959,  位置Y：0.08333337,  位置Z：-23.83463,  身体角度：195.4281,  头部角度：270.6133
位置X：-38.58306,  位置Y：0.08333337,  位置Z：-23.84561,  身体角度：195.2537,  头部角度：270.61
位置X：-38.591,  位置Y：0.08333337,  位置Z：-23.87472,  身体角度：195.2537,  头部角度：270.6059
位置X：-38.58973,  位置Y：0.08333337,  位置Z：-23.87215,  身体角度：188.0377,  头部角度：270.602
位置X：-38.58045,  位置Y：0.08333337,  位置Z：-23.88422,  身体角度：187.6515,  头部角度：270.5981
